Guide,Tárgya,Guide removed,,,,online,Lap,
Hivatkozz rá/erre:,Pápa,Kérj tőle bocsánatot:,,,,2,x,Hivatkozz a pápára!
Hibáztasd:,Putyin,Neki is jó legyen: ,,,,3,x,Hivatkozz a szüleidre
Légy megértő: ,Trump,Miatt büszke lehetsz:,,,,4,x,Hivatkozz a nagyszüleidre
Dühíts vele:,Joe Biden,,,,,5,x,Hivatkozz az alkotmányra
Sajnáld:,Angela Merkel,,,,,6,,Légy megértő
Csodáld: ,Orbán ,Hivatkozz rá:,,,,7,,Légy kedves
Gúnyold ki:,Gyurcsány,Hibáztatd:,,,,8,x,Hivatkozz az oroszokra
"Miatta, miattuk: ",Magyar Péter,Sajnáld:,,,,9,x,Hivatkozz az amerikaiakra
Mert veszélyes:,MZP,Csodáld:,,,,10,x,Hivatkozz a drogosokra
Emiatt ígérj:,Lázár,Gúnyold ki:,,,,,,
Örülj ezért:,Aranyos kiskutyák,Védd meg:,,,,,,
Aggódj ezért: ,Mikulás,Félj tőle:,,,,,,
Ezért harcolj: ,Jézus,Fenyegess vele,,,,,,
Ezért szükséges:,Mohamed,Miatta félj:,,,,,,
Ezért bizakodó vagy:,Egy vödör disznószar,,,,,,,
A felelős:,Hajléktalanok,,,,,,,
Emiatt kell változtatni:,Szüleid,,,,,,,
,Zsidók,,,,,,,
,Kommunizmus,,,,,,,
,Fasizmus,,,,,,,
,Kína,,,,,,,
,Lengyelek,,,,,,,
,A Denveri Musztángok bajnokcsapata,,,,,,,
,Drogosok,,,,,,,
,Oroszok,,,,,,,
,Amerikaiak,,,,,,,
,Románok,,,,,,,
,Feketék,,,,,,,
,Black Lives Matter,,,,,,,
,LMBTQ,,,,,,,
,Család,,,,,,,
,Trianon,,,,,,,
,Alapvető emberi jogok,,,,,,,
,Általános iskolások,,,,,,,
,Dinoszauruszok,,,,,,,
,Songoku,,,,,,,
,Laposföld-hívők,,,,,,,
,Nehezen összeszerehlető IKEA bútorok,,,,,,,
,Elszegényedő középosztály,,,,,,,